Source;Target;Type;Label;Weight
[H]Grand Canyon;[C]Singapore;directed;394.32;1.0112169312169312
[H]Las Vegas;[C]Singapore;directed;35.34;1.001005291005291
[H]Los Angeles;[C]Singapore;directed;80.91;1.0023015873015872
[H]Huntington Beach;[C]Aventura;directed;251.1;1.0071428571428571
[H]Las Vegas;[C]Aventura;directed;1801.41;1.0512433862433863
[H]Long Beach;[C]Aventura;directed;206.46;1.0058730158730158
[H]San Luis Obispo;[C]Aventura;directed;569.16;1.016190476190476
[H]Boston;[C]Barbados;directed;101.37;1.002883597883598
[H]Key West;[C]Barbados;directed;1833.03;1.052142857142857
[H]Nashville;[C]Barbados;directed;985.8;1.028042328042328
[H]Oahu, Honolulu;[C]Barbados;directed;632.4;1.017989417989418
[H]Orlando;[C]Barbados;directed;109.74;1.003121693121693
[H]Wichita;[C]Barbados;directed;513.36;1.0146031746031745
[H]Las Vegas;[C]Coral Gables;directed;188.1;1.0053507424475165
[H]Las Vegas;[C]Dhaka;directed;1055.16;1.0300153609831029
[H]Mckinney;[C]Dhaka;directed;319.6;1.0090914262957273
[H]Irvine;[C]Dorset;directed;1009.56;1.0287182112988564
[H]Key Biscayne;[C]Dorset;directed;2192.08;1.0623564885930477
[H]Las Vegas;[C]Dorset;directed;7185.44;1.2043989304204359
[H]Miami;[C]Dorset;directed;838.48;1.0238516242817317
[H]Chicago;[C]Glattbrugg;directed;497.64;1.0141559993172897
[H]Aurora;[C]Grapevine;directed;202.23;1.005752688172043
[H]Fort Lauderdale;[C]Grapevine;directed;138.92;1.003951755134551
[H]Grand Rapids;[C]Grapevine;directed;73.71;1.0020967741935485
[H]Grapevine;[C]Grapevine;directed;704.98;1.0200540479035103
[H]Irving;[C]Grapevine;directed;72.77;1.0020700347044433
[H]Las Vegas;[C]Grapevine;directed;1385.97;1.0394256699095408
[H]Miami;[C]Grapevine;directed;11529.0;1.327956989247312
[H]Orlando;[C]Grapevine;directed;517.88;1.014731751720999
[H]Tallahassee;[C]Grapevine;directed;393.12;1.0111827956989248
[H]Tucson;[C]Grapevine;directed;570.78;1.0162365591397848
[H]Anderson;[C]Hong Kong Sar;directed;360.64;1.0102588610115493
[H]Austin;[C]Hong Kong Sar;directed;239.2;1.0068043465892929
[H]Hickory;[C]Hong Kong Sar;directed;82.8;1.0023553507424474
[H]Laurel;[C]Hong Kong Sar;directed;78.2;1.0022244979234227
[H]Palmdale;[C]Hong Kong Sar;directed;84.64;1.0024076918700575
[H]Renton;[C]Hong Kong Sar;directed;145.36;1.0041349490811857
[H]Reston;[C]Hong Kong Sar;directed;261.28;1.007432440120612
[H]Saint Louis;[C]Hong Kong Sar;directed;89.24;1.0025385446890824
[H]San Antonio;[C]Hong Kong Sar;directed;71.76;1.002041303976788
[H]Las Vegas;[C]Manila;directed;679.62;1.0193326506229732
[H]Albuquerque;[C]Meads Bay;directed;91.18;1.0025937304431929
[H]Atlanta;[C]Meads Bay;directed;1649.97;1.0469354838709677
[H]Big Island , Kailua-Kona;[C]Meads Bay;directed;200.79;1.0057117255504353
[H]Brooklyn;[C]Meads Bay;directed;1224.14;1.0348222108437162
[H]Cincinnati;[C]Meads Bay;directed;99.91;1.00284206633669
[H]Dallas;[C]Meads Bay;directed;285.18;1.0081123058542414
[H]Detroit;[C]Meads Bay;directed;450.08;1.0128030949536326
[H]Fargo;[C]Meads Bay;directed;98.94;1.0028144734596347
[H]Fort Myers;[C]Meads Bay;directed;502.46;1.0142931103146158
[H]Gatlinburg;[C]Meads Bay;directed;663.48;1.018873527905786
[H]Huntsville;[C]Meads Bay;directed;208.55;1.0059324685668771
[H]Incline Village;[C]Meads Bay;directed;1078.64;1.03068327928543
[H]Langhorne;[C]Meads Bay;directed;356.96;1.0101541787563293
[H]Las Vegas;[C]Meads Bay;directed;680.94;1.0193701996927804
[H]Long Beach;[C]Meads Bay;directed;108.64;1.0030904022301872
[H]Memphis;[C]Meads Bay;directed;77.6;1.0022074301644195
[H]Mesquite;[C]Meads Bay;directed;97.0;1.0027592877055242
[H]Miami;[C]Meads Bay;directed;84.39;1.002400580303806
[H]Minneapolis;[C]Meads Bay;directed;310.4;1.0088297206576777
[H]Nashville;[C]Meads Bay;directed;655.72;1.018652784889344
[H]New York;[C]Meads Bay;directed;214.37;1.0060980258292087
[H]Palm Springs;[C]Meads Bay;directed;434.56;1.0123616089207488
[H]Philadelphia;[C]Meads Bay;directed;465.6;1.0132445809865165
[H]Phoenix;[C]Meads Bay;directed;550.96;1.0156727541673778
[H]Renton;[C]Meads Bay;directed;132.89;1.0037802241565683
[H]Springfield;[C]Meads Bay;directed;415.16;1.0118097513796438
[H]St. Louis;[C]Meads Bay;directed;808.98;1.0230124594640724
[H]St. Pete Beach;[C]Meads Bay;directed;946.72;1.0269306480059168
[H]Tucson;[C]Meads Bay;directed;1272.64;1.0362018546964784
[H]Waco;[C]Meads Bay;directed;89.24;1.0025385446890824
[H]El Segundo;[C]Middlesex;directed;2350.0;1.0668487227627013
[H]San Francisco;[C]Middlesex;directed;590.32;1.0167923991579906
[H]Desert Hot Springs;[C]Montreal;directed;2251.3;1.064041076406668
[H]Chattanooga;[C]Moscow;directed;77.08;1.0021926381066166
[H]New York;[C]Moscow;directed;259.44;1.0073800989930022
[H]Las Vegas;[C]New York City;directed;108.6;1.003089264379587
[H]Cincinnati;[C]Orlando;directed;89.04;1.0025328554360813
[H]El Portal;[C]Orlando;directed;266.56;1.0075826363998408
[H]Fort Worth;[C]Orlando;directed;441.48;1.012558457074586
[H]Kissimmee;[C]Orlando;directed;259.72;1.0073880639472037
[H]Las Vegas;[C]Orlando;directed;1366.99;1.0388857597997383
[H]Monument Valley;[C]Orlando;directed;90.16;1.0025647152528874
[H]New York;[C]Orlando;directed;107.8;1.0030665073675826
[H]Pigeon Forge;[C]Orlando;directed;441.48;1.012558457074586
[H]Raleigh;[C]Orlando;directed;307.92;1.0087591739204642
[H]Sedona;[C]Orlando;directed;544.88;1.0154998008761449
[H]Sparks;[C]Orlando;directed;139.13;1.003957728850202
[H]Fort Lauderdale;[C]Port of Spain;directed;579.04;1.0164715252887295
[H]Kissimmee;[C]Port of Spain;directed;263.2;1.0074870569494225
[H]Las Vegas;[C]Port of Spain;directed;2573.55;1.0732078853046596
[H]Austin;[C]San Francisco;directed;441.32;1.0125539056721853
[H]Casper;[C]San Francisco;directed;92.57;1.0026332707515504
[H]Dallas;[C]San Francisco;directed;131.84;1.0037503555783125
[H]Fallon;[C]San Francisco;directed;285.76;1.0081288046879444
[H]Hanover;[C]San Francisco;directed;407.68;1.0115969733174035
[H]Huntington Beach;[C]San Francisco;directed;374.0;1.0106389031120213
[H]Incline Village;[C]San Francisco;directed;287.98;1.0081919553962564
[H]Las Vegas;[C]San Francisco;directed;9004.99;1.25615833191102
[H]Los Angeles;[C]San Francisco;directed;207.57;1.0059045912271718
[H]Moriarty;[C]San Francisco;directed;103.79;1.002952437844911
[H]National City;[C]San Francisco;directed;88.83;1.00252688172043
[H]North Las Vegas;[C]San Francisco;directed;398.34;1.011331285202253
[H]San Diego;[C]San Francisco;directed;89.76;1.002553336746885
[H]St. George;[C]San Francisco;directed;68.26;1.001941742049269
[H]Treasure Island;[C]San Francisco;directed;160.82;1.0045747283381692
[H]Boca Raton;[C]Singapore;directed;84.63;1.0024074074074074
[H]Fort Lee;[C]Singapore;directed;84.63;1.0024074074074074
[H]Las Vegas;[C]Singapore;directed;85.56;1.0024338624338625
[H]Oahu, Honolulu;[C]Singapore;directed;140616.0;5.0
[H]Petaluma;[C]Singapore;directed;91.14;1.0025925925925927
[H]Rosemont;[C]Singapore;directed;45.57;1.0012962962962964
[H]Arroyo Grande;[C]Aventura;directed;106.02;1.003015873015873
[H]Colorado Springs;[C]Aventura;directed;412.92;1.0117460317460318
[H]El Paso;[C]Aventura;directed;110.67;1.0031481481481481
[H]Las Vegas;[C]Aventura;directed;54.87;1.0015608465608465
[H]Orlando;[C]Aventura;directed;65.1;1.0018518518518518
[H]Texarkana;[C]Aventura;directed;80.91;1.0023015873015872
[H]Houston;[C]Barbados;directed;1360.68;1.0387062638675542
[H]Newark;[C]Barbados;directed;143.22;1.0040740740740741
[H]Olathe;[C]Barbados;directed;71.61;1.002037037037037
[H]Las Vegas;[C]Coral Gables;directed;42.54;1.00121010411333
[H]Las Vegas;[C]Denver;directed;768.0;1.0218467315241508
[H]Las Vegas;[C]Dhaka;directed;148.44;1.0042225635774022
[H]Oahu, Honolulu;[C]Dhaka;directed;251.92;1.0071661830801615
[H]Las Vegas;[C]Dorset;directed;1252.42;1.035626671218069
[H]Oahu, Honolulu;[C]Dorset;directed;38140.5;2.0849547704386415
[H]Burlingame;[C]Grapevine;directed;81.27;1.0023118279569891
[H]Detroit;[C]Grapevine;directed;141.75;1.0040322580645162
[H]Fort Lauderdale;[C]Grapevine;directed;584.02;1.0166131876884565
[H]Las Vegas;[C]Grapevine;directed;383.74;1.010915969733174
[H]Naples;[C]Grapevine;directed;1118.88;1.0318279569892472
[H]Orlando;[C]Grapevine;directed;115.29;1.003279569892473
[H]Philadelphia;[C]Grapevine;directed;113.4;1.0032258064516129
[H]Seattle;[C]Grapevine;directed;396.92;1.0112908915059453
[H]West Palm Beach;[C]Grapevine;directed;93.56;1.0026614325539056
[H]Cincinnati;[C]Hong Kong Sar;directed;88.32;1.0025123741252773
[H]Elkhart;[C]Hong Kong Sar;directed;56.12;1.0015964043921033
[H]Fort Myers;[C]Hong Kong Sar;directed;171.12;1.004867724867725
[H]Las Vegas;[C]Hong Kong Sar;directed;135.75;1.0038615804744837
[H]Orlando;[C]Hong Kong Sar;directed;148.12;1.0042134607726005
[H]San Antonio;[C]Hong Kong Sar;directed;71.76;1.002041303976788
[H]Tuscaloosa;[C]Hong Kong Sar;directed;496.8;1.0141321044546852
[H]Las Vegas;[C]Las Vegas;directed;75.2;1.0021391591284063
[H]Arlington;[C]Meads Bay;directed;162.96;1.0046356033452808
[H]Atlanta;[C]Meads Bay;directed;97.97;1.0027868805825795
[H]Austin;[C]Meads Bay;directed;227.95;1.006484326107982
[H]Brooklyn;[C]Meads Bay;directed;531.56;1.015120896626273
[H]Chapel Hill;[C]Meads Bay;directed;87.3;1.0024833589349718
[H]Chicago;[C]Meads Bay;directed;156.17;1.004442453205894
[H]Cocoa Beach;[C]Meads Bay;directed;119.31;1.003393923877795
[H]Dedham;[C]Meads Bay;directed;100.88;1.0028696592137452
[H]Denver;[C]Meads Bay;directed;189.15;1.0053806110257724
[H]Fort Wayne;[C]Meads Bay;directed;125.13;1.0035594811401263
[H]Humble;[C]Meads Bay;directed;94.09;1.0026765090743586
[H]Jersey City;[C]Meads Bay;directed;152.29;1.004332081697673
[H]Las Vegas;[C]Meads Bay;directed;177.31;1.0050438072481083
[H]Lumberton;[C]Meads Bay;directed;91.18;1.0025937304431929
[H]Mesquite;[C]Meads Bay;directed;575.21;1.016362576093759
[H]Miami Beach;[C]Meads Bay;directed;113.49;1.0032283666154633
[H]Nashville;[C]Meads Bay;directed;457.84;1.0130238379700744
[H]Old Greenwich;[C]Meads Bay;directed;115.43;1.0032835523695738
[H]Orlando;[C]Meads Bay;directed;106.7;1.0030352164760767
[H]Paramus;[C]Meads Bay;directed;88.27;1.002510951812027
[H]Rancho Mirage;[C]Meads Bay;directed;291.0;1.0082778631165727
[H]Rutherford;[C]Meads Bay;directed;112.52;1.003200773738408
[H]San Antonio;[C]Meads Bay;directed;211.46;1.0060152471980428
[H]Toledo;[C]Meads Bay;directed;166.84;1.0047459748535017
[H]Uniondale;[C]Meads Bay;directed;121.25;1.0034491096319054
[H]Waterbury;[C]Meads Bay;directed;71.78;1.002041872902088
[H]West Palm Beach;[C]Meads Bay;directed;96.03;1.002731694828469
[H]Williams;[C]Meads Bay;directed;576.18;1.0163901689708141
[H]Wilmington;[C]Meads Bay;directed;120.28;1.0034215167548501
[H]Raleigh;[C]Middlesex;directed;79.9;1.0022728565739318
[H]Fort Lauderdale;[C]Moscow;directed;576.22;1.0163913068214143
[H]Grand Canyon;[C]Moscow;directed;398.56;1.011337543380554
[H]Lake Buena Vista;[C]Moscow;directed;141.0;1.0040109233657621
[H]New York;[C]Moscow;directed;77.08;1.0021926381066166
[H]Arlington;[C]Orlando;directed;465.61;1.0132448654491666
[H]Atlanta;[C]Orlando;directed;155.82;1.0044324970131422
[H]Bridgeton;[C]Orlando;directed;79.77;1.0022691585594812
[H]Las Vegas;[C]Orlando;directed;463.19;1.0131760254878535
[H]Miami Beach;[C]Orlando;directed;2634.24;1.0749342891278375
[H]Palm Springs;[C]Orlando;directed;103.88;1.0029549980087615
[H]Pismo Beach;[C]Orlando;directed;813.4;1.0231381919553963
[H]Portland;[C]Orlando;directed;177.38;1.0050457984866588
[H]Saint Louis;[C]Orlando;directed;140.98;1.004010354440462
[H]Las Vegas;[C]Port of Spain;directed;8716.16;1.247942197189509
[H]Maui Kahului;[C]Port of Spain;directed;569.2;1.0161916140410765
[H]Austin;[C]San Francisco;directed;119.68;1.003404448995847
[H]Charlotte;[C]San Francisco;directed;598.42;1.0170228139045343
[H]Cranbury;[C]San Francisco;directed;78.54;1.0022341696535244
[H]Denver;[C]San Francisco;directed;90.7;1.0025800762359902
[H]East Hartford;[C]San Francisco;directed;76.67;1.0021809751379644
[H]Fort Worth;[C]San Francisco;directed;148.67;1.0042291062183535
[H]Fredericksburg;[C]San Francisco;directed;75.74;1.0021545201115094
[H]Hauppauge;[C]San Francisco;directed;128.1;1.0036439665471923
[H]Incline Village;[C]San Francisco;directed;283.31;1.0080591113386812
[H]Key West;[C]San Francisco;directed;165.5;1.0047078568583945
[H]Las Vegas;[C]San Francisco;directed;2224.29;1.0632727427888717
[H]Mesquite;[C]San Francisco;directed;53.3;1.001516185924788
[H]Miami;[C]San Francisco;directed;811.6;1.0230869886783864
[H]Nashville;[C]San Francisco;directed;105.66;1.003005632360471
[H]Oahu, Honolulu;[C]San Francisco;directed;215.99;1.0061441087785175
[H]Oakbrook;[C]San Francisco;directed;172.04;1.0048938954315298
[H]Orlando;[C]San Francisco;directed;1624.14;1.0462007168458782
[H]Philadelphia;[C]San Francisco;directed;218.8;1.0062240427831826
[H]Tulsa;[C]San Francisco;directed;233.76;1.0066495989076634
[H]Pensacola;[C]Shanghai;directed;114.68;1.00326221767082
[H]Grand Canyon;[C]Singapore;directed;394.32;1.0112169312169312
[H]Las Vegas;[C]Singapore;directed;93.0;1.0026455026455026
[H]Orange;[C]Singapore;directed;90.21;1.0025661375661377
[H]Chantilly;[C]Aventura;directed;2276.64;1.0647619047619048
[H]Las Vegas;[C]Aventura;directed;699.36;1.0198941798941799
[H]Miami;[C]Aventura;directed;1383.84;1.0393650793650793
[H]New York;[C]Aventura;directed;96.72;1.0027513227513227
[H]Park City;[C]Aventura;directed;1088.1;1.0309523809523808
[H]Charleston;[C]Barbados;directed;85.56;1.0024338624338625
[H]Las Vegas;[C]Dorset;directed;349.05;1.0099291688001366
[H]Bangor;[C]Grapevine;directed;2409.75;1.0685483870967742
[H]Las Vegas;[C]Grapevine;directed;1443.98;1.0410758377425045
[H]Vienna;[C]Grapevine;directed;79.38;1.002258064516129
[H]Boulder City;[C]Hong Kong Sar;directed;80.04;1.0022768390510326
[H]Overland Park;[C]Hong Kong Sar;directed;290.72;1.0082698981623712
[H]Anchorage;[C]Meads Bay;directed;81.48;1.0023178016726404
[H]Austin;[C]Meads Bay;directed;1698.47;1.04831512772373
[H]Boston;[C]Meads Bay;directed;112.52;1.003200773738408
[H]Charleston;[C]Meads Bay;directed;95.06;1.0027041019514138
[H]Dallas;[C]Meads Bay;directed;10890.19;1.3097852306992093
[H]Fort Lauderdale;[C]Meads Bay;directed;2071.92;1.0589383853899983
[H]Houston;[C]Meads Bay;directed;153.26;1.0043596745747283
[H]Lakewood;[C]Meads Bay;directed;341.44;1.0097126927234454
[H]Las Vegas;[C]Meads Bay;directed;225.39;1.0064115036695682
[H]Miami Beach;[C]Meads Bay;directed;1389.04;1.0395129999431074
[H]Petaluma;[C]Meads Bay;directed;121.25;1.0034491096319054
[H]Primm;[C]Meads Bay;directed;32.98;1.0009381578198782
[H]Rochester;[C]Meads Bay;directed;123.19;1.0035042953860158
[H]San Rafael;[C]Meads Bay;directed;105.73;1.0030076235990215
[H]Tucson;[C]Meads Bay;directed;98.94;1.0028144734596347
[H]Yonkers;[C]Meads Bay;directed;3736.44;1.1062877624167946
[H]Sedona;[C]Montevideo;directed;338.4;1.0096262160778289
[H]Atlantic City;[C]Orlando;directed;64.0;1.0018205609603459
[H]Joplin;[C]Orlando;directed;89.04;1.0025328554360813
[H]Miami Beach;[C]Orlando;directed;236.18;1.0067184388689765
[H]Sunnyvale;[C]Orlando;directed;66.78;1.001899641577061
[H]Burbank;[C]Plymouth;directed;182.28;1.0051851851851852
[H]Las Vegas;[C]Port of Spain;directed;128.52;1.0036559139784946
[H]Atlanta;[C]San Francisco;directed;335.67;1.0095485577743641
[H]Baton Rouge;[C]San Francisco;directed;76.67;1.0021809751379644
[H]Bloomington;[C]San Francisco;directed;250.6;1.0071286340103545
[H]Duck Key;[C]San Francisco;directed;11119.02;1.3162945895203961
[H]Fort Lauderdale;[C]San Francisco;directed;115.01;1.0032716049382715
[H]Glendale;[C]San Francisco;directed;205.7;1.0058513967116118
[H]Hanover;[C]San Francisco;directed;370.28;1.0105330830062014
[H]Kansas City;[C]San Francisco;directed;68.26;1.001941742049269
[H]Las Vegas;[C]San Francisco;directed;18634.17;1.5300725379757638
[H]Mesquite;[C]San Francisco;directed;28.99;1.0008246572225066
[H]Mount Charleston;[C]San Francisco;directed;129.97;1.0036971610627525
[H]Nashville;[C]San Francisco;directed;639.56;1.0181930932468566
[H]Oahu, Honolulu;[C]San Francisco;directed;215.99;1.0061441087785175
[H]Oakbrook;[C]San Francisco;directed;151.88;1.004320418729021
[H]Orlando;[C]San Francisco;directed;93.5;1.0026597257780054
[H]Phoenix;[C]San Francisco;directed;121.56;1.003457927974057
[H]Rancho Mirage;[C]San Francisco;directed;115.94;1.0032980599647265
[H]San Francisco;[C]San Francisco;directed;86.02;1.002446947715765
[H]Miami;[C]Singapore;directed;75.33;1.0021428571428572
[H]Tempe;[C]Singapore;directed;66.03;1.0018783068783068
[H]Scottsdale;[C]Windsor;directed;676.8;1.019252432155658
