Source;Target;Type;Label;Weight
[H]Birmingham;[C]San Francisco;directed;100.05;1.0028460488137907
[H]Boston;[C]San Francisco;directed;93.5;1.0026597257780054
[H]Chicago;[C]San Francisco;directed;368.4;1.010479604027991
[H]Denver;[C]San Francisco;directed;113.14;1.0032184104227115
[H]Detroit;[C]San Francisco;directed;137.45;1.0039099391249928
[H]Florida City;[C]San Francisco;directed;82.28;1.0023405586846448
[H]Fort Worth;[C]San Francisco;directed;287.05;1.0081655003698013
[H]Grapevine;[C]San Francisco;directed;357.18;1.0101604369346304
[H]Grass Valley;[C]San Francisco;directed;111.27;1.0031652159071514
[H]Hanover;[C]San Francisco;directed;368.4;1.010479604027991
[H]Houston;[C]San Francisco;directed;80.41;1.0022873641690846
[H]Huntsville;[C]San Francisco;directed;87.89;1.002500142231325
[H]Las Vegas;[C]San Francisco;directed;3719.35;1.1058016157478523
[H]Laughlin;[C]San Francisco;directed;64.52;1.0018353530181487
[H]Los Angeles;[C]San Francisco;directed;152.41;1.0043354952494739
[H]Mesquite;[C]San Francisco;directed;43.01;1.0012234738578825
[H]Morro Bay;[C]San Francisco;directed;86.02;1.002446947715765
[H]Mountain Home;[C]San Francisco;directed;992.97;1.0282462877624168
[H]Nashville;[C]San Francisco;directed;201.96;1.0057450076804915
[H]National City;[C]San Francisco;directed;81.35;1.0023141036581897
[H]Newport Beach;[C]San Francisco;directed;5688.66;1.161821129885646
[H]Old Greenwich;[C]San Francisco;directed;118.75;1.0033779939693919
[H]Orlando;[C]San Francisco;directed;86.96;1.00247368720487
[H]Philadelphia;[C]San Francisco;directed;103.79;1.002952437844911
[H]Phoenix;[C]San Francisco;directed;4771.55;1.1357327757865392
[H]Primm;[C]San Francisco;directed;138.38;1.0039363941514479
[H]Ruidoso Downs;[C]San Francisco;directed;87.89;1.002500142231325
[H]San Antonio;[C]San Francisco;directed;72.93;1.002074586106844
[H]San Francisco;[C]San Francisco;directed;76.67;1.0021809751379644
[H]South Portland;[C]San Francisco;directed;433.84;1.0123411276099448
[H]Tempe;[C]San Francisco;directed;266.96;1.0075940149058429
[H]Towson;[C]San Francisco;directed;65.45;1.0018618080446038
[H]Tucson;[C]San Francisco;directed;73.87;1.0021013255959492
[H]Virginia Beach;[C]San Francisco;directed;87.89;1.002500142231325
[H]West Palm Beach;[C]San Francisco;directed;185.14;1.0052665415031006
[H]Inglewood;[C]Singapore;directed;94.86;1.0026984126984126
[H]Las Vegas;[C]Singapore;directed;35.34;1.001005291005291
[H]Arlington;[C]Barbados;directed;455.7;1.012962962962963
[H]Grapevine;[C]Barbados;directed;727.26;1.0206878306878306
[H]Austin;[C]Dorset;directed;1272.76;1.036205268248279
[H]Oahu, Honolulu;[C]Dorset;directed;6838.5;1.1945297832394606
[H]Las Vegas;[C]Grapevine;directed;869.7;1.0247397166752006
[H]Miami Beach;[C]Grapevine;directed;183.33;1.0052150537634408
[H]Oahu, Honolulu;[C]Grapevine;directed;271.22;1.0077151959947659
[H]Philadelphia;[C]Grapevine;directed;113.4;1.0032258064516129
[H]Herndon;[C]Hong Kong Sar;directed;69.0;1.0019627922853729
[H]Los Angeles;[C]Hong Kong Sar;directed;320.16;1.0091073562041304
[H]Sterling;[C]Hong Kong Sar;directed;56.12;1.0015964043921033
[H]Sunnyvale;[C]Hong Kong Sar;directed;74.52;1.0021198156682027
[H]Vicksburg;[C]Hong Kong Sar;directed;93.84;1.0026693975081071
[H]Atlanta;[C]Meads Bay;directed;105.73;1.0030076235990215
[H]Baltimore;[C]Meads Bay;directed;61.11;1.0017383512544802
[H]Brooklyn;[C]Meads Bay;directed;129.01;1.0036698526483472
[H]Cheyenne;[C]Meads Bay;directed;75.66;1.002152244410309
[H]Cleveland;[C]Meads Bay;directed;182.36;1.0051874608863856
[H]Dallas;[C]Meads Bay;directed;139.68;1.003973374295955
[H]Las Vegas;[C]Meads Bay;directed;22.63;1.0006437389770724
[H]Miami;[C]Meads Bay;directed;121.25;1.0034491096319054
[H]Naples;[C]Meads Bay;directed;6475.72;1.1842100472208
[H]New Orleans;[C]Meads Bay;directed;114.46;1.0032559594925186
[H]New York;[C]Meads Bay;directed;99.91;1.00284206633669
[H]Portland;[C]Meads Bay;directed;93.12;1.0026489161973033
[H]Primm;[C]Meads Bay;directed;32.98;1.0009381578198782
[H]Richmond;[C]Meads Bay;directed;488.88;1.0139068100358424
[H]Little Rock;[C]Middlesex;directed;78.02;1.0022193775957218
[H]Chicago;[C]Moscow;directed;1133.64;1.032247823860727
[H]Seattle;[C]Moscow;directed;69.56;1.001978722193776
[H]Atlanta;[C]Orlando;directed;102.03;1.0029023724185016
[H]Las Vegas;[C]Orlando;directed;437.47;1.0124443875519145
[H]Miami Beach;[C]Orlando;directed;1614.06;1.0459139784946236
[H]Tucson;[C]Orlando;directed;2110.0;1.060021619161404
[H]Daytona Beach;[C]Port of Spain;directed;516.06;1.0146799795186892
[H]Las Vegas;[C]Port of Spain;directed;258.5;1.007353359503897
[H]Arlington;[C]San Francisco;directed;91.63;1.0026065312624453
[H]Atlanta;[C]San Francisco;directed;94.44;1.0026864652671104
[H]Austin;[C]San Francisco;directed;124.36;1.0035375775160722
[H]Baton Rouge;[C]San Francisco;directed;76.67;1.0021809751379644
[H]Birmingham;[C]San Francisco;directed;108.46;1.0030852819024862
[H]Boulder City;[C]San Francisco;directed;86.96;1.00247368720487
[H]Chicago;[C]San Francisco;directed;170.18;1.0048409853786198
[H]Cocoa Beach;[C]San Francisco;directed;99.11;1.0028193093246858
[H]Fort Lauderdale;[C]San Francisco;directed;1391.36;1.03957899527792
[H]Fort Worth;[C]San Francisco;directed;208.51;1.005931330716277
[H]Houston;[C]San Francisco;directed;80.41;1.0022873641690846
[H]Las Vegas;[C]San Francisco;directed;1037.42;1.029510724241907
[H]Lawndale;[C]San Francisco;directed;77.61;1.0022077146270694
[H]Long Beach;[C]San Francisco;directed;110.33;1.0031384764180462
