Id;Label;lat;lng;Type
[H]Sunnyvale;Sunnyvale;37.3688301;-122.036349;target
[H]Vicksburg;Vicksburg;32.3528055;-90.8777342;target
[H]Cheyenne;Cheyenne;41.139981;-104.820246;target
[H]Cleveland;Cleveland;41.4996562;-81.6936813;target
[H]Miami;Miami;25.7741728;-80.19362;target
[H]New Orleans;New Orleans;29.9759983;-90.0782127;target
[H]Little Rock;Little Rock;34.7465071;-92.2896267;target
[H]Seattle;Seattle;47.6038321;-122.3300624;target
[H]Daytona Beach;Daytona Beach;29.2108147;-81.0228331;target
[H]Baton Rouge;Baton Rouge;30.4459596;-91.18738;target
[H]Boulder City;Boulder City;35.9787638;-114.8337739;target
[H]Cocoa Beach;Cocoa Beach;28.3298487;-80.62054663871002;target
[H]Palm Desert;Palm Desert;33.74079965;-116.36936983394352;target
[H]Raleigh;Raleigh;35.7803977;-78.6390989;target
[H]San Rafael;San Rafael;37.9735346;-122.5310874;target
[H]Southern Pines;Southern Pines;35.1740471;-79.3922539;target
[H]Sunrise;Sunrise;26.1471902;-80.32966128894083;target
[H]West Hollywood;West Hollywood;34.0923014;-118.3692894;target
[H]Weston;Weston;51.3471927;-2.9778916;target
[H]Winter Garden;Winter Garden;28.5502685;-81.59259746085962;target
[H]Pasadena;Pasadena;34.1476452;-118.1444779;target
[C]Brooklyn;Brooklyn;40.6526006;-73.9497211;source
[H]Burlingame;Burlingame;37.5780965;-122.3473099;target
[H]Reston;Reston;38.955696;-77.34188283719988;target
[H]Fairfax;Fairfax;38.8462236;-77.3063733;target
[H]Irvine;Irvine;33.6856969;-117.8259819;target
[H]Cincinnati;Cincinnati;39.1014537;-84.5124602;target
[H]Knoxville;Knoxville;35.9603948;-83.9210261;target
[H]Renton;Renton;47.4799078;-122.2034496;target
[H]Seaside;Seaside;36.62593;-121.8169383456945;target
[C]Miami;Miami;25.7741728;-80.19362;source
[H]Dania Beach;Dania Beach;26.0524224;-80.143929;target
[H]Grand Canyon;Grand Canyon;36.0965604;-112.0984941;target
[H]Winter Haven;Winter Haven;28.0222435;-81.7328568;target
[H]Garden Grove;Garden Grove;33.7746292;-117.9463717;target
[H]La Jolla;La Jolla;32.83259;-117.2716839;target
[H]Mount Charleston;Mount Charleston;36.257191;-115.6427994;target
[H]Punta Gorda;Punta Gorda;26.9297836;-82.0453664;target
[H]Rancho Mirage;Rancho Mirage;33.770859;-116.42687402345577;target
[H]Ridgecrest;Ridgecrest;35.6225064;-117.6699414;target
[H]Saint Louis;Saint Louis;38.6264256;-90.1995853;target
[H]Yakima;Yakima;46.601557;-120.510842;target
[H]Orange;Orange;33.7500378;-117.8704931;target
[H]Rosemont;Rosemont;41.9941334;-87.8756737;target
[H]Mount Laurel;Mount Laurel;39.934002;-74.8909988;target
[H]Breckenridge;Breckenridge;32.7558392;-98.9032554;target
[C]Dublin;Dublin;53.3497645;-6.2602732;source
[H]Milwaukee;Milwaukee;43.0349931;-87.922497;target
[C]Las Vegas;Las Vegas;36.1672559;-115.148516;source
[H]Albuquerque;Albuquerque;35.0841034;-106.650985;target
[H]Brentwood;Brentwood;37.9317766;-121.696026;target
[H]Dover;Dover;51.1251275;1.3134228;target
[H]Forsyth;Forsyth;39.9325368;-88.9511912;target
[H]Paramus;Paramus;40.9452911;-74.0735899;target
[H]St. Louis;St. Louis;38.6264256;-90.1995853;target
[H]Washington D.C.;Washington D.C.;38.8950368;-77.0365427;target
[H]San Diego;San Diego;32.7174202;-117.1627728;target
[C]Montreal;Montreal;45.5031824;-73.5698065;source
[H]Pigeon Forge;Pigeon Forge;35.7884241;-83.5543329;target
[H]Billings;Billings;45.7874957;-108.49607;target
[H]Charleston;Charleston;32.7876012;-79.9402728;target
[H]Grants Pass;Grants Pass;42.4393707;-123.3272489;target
[H]Lexington;Lexington;38.0464066;-84.4970393;target
[H]Minneapolis;Minneapolis;44.9772995;-93.2654692;target
[H]Thousand Oaks;Thousand Oaks;34.1705609;-118.8375937;target
[H]Alexandria;Alexandria;31.199004;29.894378;target
[H]Monterey;Monterey;36.2231079;-121.3877428;target
[H]Key Largo;Key Largo;25.091338;-80.46777414781022;target
[C]Buenos Aires;Buenos Aires;-34.6075682;-58.4370894;source
[H]Maui, Lahaina;Maui, Lahaina;20.88717735;-156.6748023632949;target
[H]Federal Way;Federal Way;47.313494;-122.3393103;target
[C]Guangzhou;Guangzhou;23.1301964;113.2592945;source
[H]Aurora;Aurora;41.7571701;-88.3147539;target
[H]Golden;Golden;39.7546349;-105.2205809;target
[H]Hammond;Hammond;41.5833658;-87.500043;target
[H]Huntington Beach;Huntington Beach;33.6783336;-118.0000166;target
[C]Manila;Manila;14.5948914;120.9782618;source
[H]Fernandina Beach;Fernandina Beach;30.6696818;-81.4625919;target
[H]Hilton Head Island;Hilton Head Island;32.1618488;-80.7512616;target
[H]Hollywood;Hollywood;34.0980031;-118.329523;target
